Titre;Artiste;Label;Time;Event;Annee_Sortie;Longueur;Genre;Distributeur;Nombre_Pistes;Reedition
DANY BRILLANT CHANTE AZNAVOUR - EN DUO;DANY BRILLANT;PARLOPHONE;9;1;2020;00:50:04;Variété française;Warner music france;16;0
FINE LINE;HARRY STYLES;COLUMBIA;49;1;2019;00:46:37;Pop Rock;Sony music entertainment;12;0
CICATRICES;ZOLA;AWA;13;1;2019;00:44:11;Rap français;Sony music entertainment;16;0
CKAY THE FIRST;CKAY;WEA / CHOCOLATE CITY MUSIC;3;1;2022;00:23:30;Afrobeats;;8;0
16;WEJDENE;VIRGIN RECORDS FRANCE / VIRGIN RECORDS;24;1;2020;00:56:00;R&B;Universal music france;20;1
LOIN DU MONDE;JUL;BELIEVE / D'OR ET DE PLATINE;46;1;2020;01:04:50;Rap français;Believe;18;0
ROOFTOP;SCH;REC118 / REC. 118;47;1;2019;01:03:00;Rap français;Warner music france;17;0
ENFANT2LARUE VOL.2;SASSO;WLAB2 / CONSTELLATION;29;1;2021;01:13:00;Rap français;Wagram;24;1
13 ORGANISE;13 ORGANISE;BELIEVE / RIEN 100 RIEN;48;1;2020;01:32:00;Rap français;Believe;13;0
UN VIOLON A PARIS;RENAUD CAPUCON;CATALOGUE MARKETING CLASSIQUE / WARNER CLASSICS;2;1;2021;01:20:00;Musique classique;Warner music france;22;0
RED (TAYLOR'S VERSION);TAYLOR SWIFT;ISLAND DEF JAM / UNIVERSAL MUSIC;5;1;2021;02:10:26;Pop;Universal music france;30;1
SALE MÔME;NIRO;AMBITION MUSIC;49;1;2021;02:05:00;Rap français;Sony music entertainment;44;1
FRANCE;SARAH BRIGHTMAN;PIAS FRANCE / METAPHORE PRODUCTIONS;3;1;2020;01:14:00;Pop;Pias france;19;0
SINGLES COLLECTION (1981-2001);INDOCHINE;RCA GROUP / INDOCHINE RECORDS;10;1;2020;02:09:00;Pop rock;Sony music entertainment;32;0
